"event","payload","import_ts"
"decision.created","{""enforcement_actions"": [""ban_user"", ""shadow_ban""], ""enforcement_actions_removed"": [], ""entity"": {""attributes"": {""account_age_days"": 986, ""email"": ""user747@example.net"", ""first_name"": ""Tomas"", ""id"": ""910d108b"", ""last_name"": ""Moore"", ""username"": ""pattern60""}, ""entity_schema"": ""user"", ""predictions"": [{""attributes"": [""transcript""], ""confidence"": ""LOW"", ""inference_id"": ""89b1d55d-4e74-4b49-851d-1abe8b25f9a1"", ""is_positive"": true, ""policy_id"": ""5e6f7081-5555-4444-8888-eeeeffff0000"", ""score"": 0.5924}]}, ""notes"": ""Society listen society."", ""policies"": [{""customer_ref"": ""internal-policy-106"", ""id"": ""5e6f7081-5555-4444-8888-eeeeffff0000"", ""is_illegal"": false, ""is_non_violating"": false, ""name"": ""Spam and Inauthentic Behaviour""}], ""policies_removed"": [], ""source"": {""decision"": {""id"": ""64390832-b460-4219-8373-8f4dc3dbf366"", ""metadata"": {}, ""type"": ""queue_review""}, ""job"": {""created_at"": ""2026-07-03T07:56:23.667031+00:00"", ""id"": ""b849b3c5-c10e-47e0-8f7c-725c3c7d52ec"", ""queue"": {""is_multi_review"": true, ""slug"": ""high-harm-review""}, ""reports"": []}, ""user"": {""email"": ""b.silva@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Reviewers""}], ""name"": ""Bruno Silva""}}, ""timestamp"": ""2026-07-05T07:53:23.667031+00:00""}","2026-07-05 07:53:42"
"decision.created","{""enforcement_actions"": [""remove_content"", ""warn_user""], ""enforcement_actions_removed"": [], ""entity"": {""attributes"": {""caption"": ""Signal listen pattern record candle."", ""created"": ""2026-07-22T15:02:07Z"", ""id"": ""173dbd68"", ""media_count"": 2, ""object_url"": ""https://example.com/image/173dbd68""}, ""entity_schema"": ""image_post""}, ""notes"": """", ""point_updates"": [{""entity"": {""attributes"": {""id"": ""173dbd68""}, ""entity_schema"": ""image_post""}, ""points_change"": 1, ""points_total"": 4}], ""policies"": [{""customer_ref"": ""internal-policy-104"", ""id"": ""3c4d5e6f-3333-4444-8888-ccccddddeeee"", ""is_illegal"": false, ""is_non_violating"": false, ""name"": ""Adult Nudity""}], ""policies_removed"": [], ""source"": {""decision"": {""id"": ""b63a50f4-3f88-447a-898a-d7f344fdd60a"", ""metadata"": {}, ""type"": ""queue_review""}, ""job"": {""created_at"": ""2026-07-04T08:56:56.178392+00:00"", ""id"": ""7cf367a4-5f77-48f6-80b0-5fe2a0d6410b"", ""queue"": {""is_multi_review"": false, ""slug"": ""user-reports""}, ""reports"": []}, ""user"": {""email"": ""e.demir@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Admin""}, {""name"": ""Workflow Admins""}], ""name"": ""Elif Demir""}}, ""timestamp"": ""2026-07-06T04:00:56.178392+00:00""}","2026-07-06 04:02:23"
"decision.created","{""enforcement_actions"": [""ban_user""], ""enforcement_actions_removed"": [], ""entity"": {""attributes"": {""caption"": ""Stage garden stage matter harvest candle figure stage stage record."", ""created"": ""2026-07-29T12:22:17Z"", ""id"": ""e63d9cc3"", ""media_count"": 1, ""object_url"": ""https://example.com/image/e63d9cc3""}, ""entity_schema"": ""image_post""}, ""notes"": ""Market record bridge season practice market season silver candle."", ""point_updates"": [{""entity"": {""attributes"": {""id"": ""e63d9cc3""}, ""entity_schema"": ""image_post""}, ""points_change"": 2, ""points_total"": 3}], ""policies"": [{""customer_ref"": ""internal-policy-104"", ""id"": ""3c4d5e6f-3333-4444-8888-ccccddddeeee"", ""is_illegal"": false, ""is_non_violating"": false, ""name"": ""Adult Nudity""}], ""policies_removed"": [], ""source"": {""decision"": {""id"": ""87803c87-ca2f-4d92-8f37-9d77dc7400ac"", ""metadata"": {}, ""type"": ""api_decision""}, ""job"": {""created_at"": ""2026-07-07T12:00:23.714946+00:00"", ""id"": ""0619d298-121e-4b4f-82c3-79c1b2b11d5c"", ""queue"": {""is_multi_review"": false, ""slug"": ""flagged-text""}, ""reports"": []}}, ""timestamp"": ""2026-07-08T21:22:23.714946+00:00""}","2026-07-08 21:23:41"
"decision.created","{""enforcement_actions"": [""warn_user""], ""enforcement_actions_removed"": [], ""entity"": {""attributes"": {""caption"": ""Bridge practice record matter market figure season pattern silver practice ready season."", ""created"": ""2026-07-25T17:40:13Z"", ""id"": ""f02da85a"", ""object_url"": ""https://example.com/post/f02da85a""}, ""entity_schema"": ""text_post"", ""predictions"": [{""attributes"": [""username""], ""confidence"": ""MEDIUM"", ""inference_id"": ""729d58a6-2e8c-4814-8577-07fa003e174d"", ""is_positive"": true, ""policy_id"": ""1a2b3c4d-1111-4444-8888-aaaabbbbcccc"", ""score"": 0.7709}]}, ""notes"": """", ""policies"": [{""customer_ref"": ""internal-policy-102"", ""id"": ""1a2b3c4d-1111-4444-8888-aaaabbbbcccc"", ""is_illegal"": false, ""is_non_violating"": false, ""name"": ""Harassment - Severe""}, {""customer_ref"": null, ""id"": ""2b3c4d5e-2222-4444-8888-bbbbccccdddd"", ""is_illegal"": false, ""is_non_violating"": false, ""name"": ""Harassment - Mild""}], ""policies_removed"": [], ""source"": {""decision"": {""id"": ""92e3f818-6fe6-4270-881e-2d5a9123d24b"", ""metadata"": {}, ""type"": ""automated""}, ""job"": {""created_at"": ""2026-07-08T19:46:03.667502+00:00"", ""id"": ""212496d3-c9f5-4756-8b61-b0d32f567daf"", ""queue"": {""is_multi_review"": false, ""slug"": ""flagged-text""}, ""reports"": []}}, ""timestamp"": ""2026-07-09T01:09:03.667502+00:00""}","2026-07-09 01:09:18"
"decision.created","{""enforcement_actions"": [""shadow_ban"", ""warn_user""], ""enforcement_actions_removed"": [], ""entity"": {""attributes"": {""caption"": ""Stage garden society practice signal moment society window window."", ""created"": ""2026-07-28T11:18:17Z"", ""id"": ""fad00c21"", ""media_count"": 1, ""object_url"": ""https://example.com/image/fad00c21""}, ""entity_schema"": ""image_post"", ""predictions"": [{""attributes"": [""biography""], ""confidence"": ""LOW"", ""inference_id"": ""7cb1f88c-bbb1-4086-8290-4a72a72b51b9"", ""is_positive"": true, ""policy_id"": ""3c4d5e6f-3333-4444-8888-ccccddddeeee"", ""score"": 0.5582}]}, ""notes"": ""Garden garden bridge candle bridge."", ""policies"": [{""customer_ref"": ""internal-policy-104"", ""id"": ""3c4d5e6f-3333-4444-8888-ccccddddeeee"", ""is_illegal"": false, ""is_non_violating"": false, ""name"": ""Adult Nudity""}], ""policies_removed"": [], ""source"": {""decision"": {""id"": ""2194c815-e9db-4a14-8d05-bf4e8cc19ab6"", ""metadata"": {}, ""type"": ""queue_review""}, ""job"": {""created_at"": ""2026-07-07T23:17:44.981653+00:00"", ""id"": ""94b89b64-fe37-417b-81fb-fa302caca0b5"", ""queue"": {""is_multi_review"": false, ""slug"": ""flagged-images""}, ""reports"": []}, ""user"": {""email"": ""e.demir@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Admin""}, {""name"": ""Workflow Admins""}], ""name"": ""Elif Demir""}}, ""timestamp"": ""2026-07-09T01:58:44.981653+00:00""}","2026-07-09 01:59:52"
"decision.created","{""enforcement_actions"": [""restrict_account""], ""enforcement_actions_removed"": [], ""entity"": {""attributes"": {""account_age_days"": 1823, ""email"": ""user314@example.net"", ""first_name"": ""Noor"", ""id"": ""06997824"", ""last_name"": ""Hall"", ""username"": ""practice81""}, ""entity_schema"": ""user"", ""predictions"": [{""attributes"": [""transcript""], ""confidence"": ""LOW"", ""inference_id"": ""c3a596e8-6845-41f0-8f71-b7e2b7428999"", ""is_positive"": true, ""policy_id"": ""5e6f7081-5555-4444-8888-eeeeffff0000"", ""score"": 0.5424}]}, ""notes"": """", ""policies"": [{""customer_ref"": ""internal-policy-106"", ""id"": ""5e6f7081-5555-4444-8888-eeeeffff0000"", ""is_illegal"": false, ""is_non_violating"": false, ""name"": ""Spam and Inauthentic Behaviour""}], ""policies_removed"": [], ""source"": {""decision"": {""id"": ""70a9a8a4-f702-43a4-8c6b-a0cc1129f2db"", ""metadata"": {}, ""type"": ""investigate_review""}, ""job"": {""created_at"": ""2026-07-06T17:54:00.787142+00:00"", ""id"": ""29128bd6-b6fb-4e89-88e0-17eafcf8d9f0"", ""queue"": {""is_multi_review"": true, ""slug"": ""escalations""}, ""reports"": []}, ""user"": {""email"": ""b.silva@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Reviewers""}], ""name"": ""Bruno Silva""}}, ""timestamp"": ""2026-07-09T07:39:00.787142+00:00""}","2026-07-09 07:39:04"
"decision.created","{""enforcement_actions"": [""ban_user"", ""remove_content""], ""enforcement_actions_removed"": [], ""entity"": {""attributes"": {""caption"": ""Candle figure silver signal window window garden practice window reason signal."", ""created"": ""2026-07-22T03:13:43Z"", ""id"": ""8e94368d"", ""object_url"": ""https://example.com/post/8e94368d""}, ""entity_schema"": ""text_post""}, ""notes"": """", ""policies"": [{""customer_ref"": ""internal-policy-105"", ""id"": ""4d5e6f70-4444-4444-8888-ddddeeeeffff"", ""is_illegal"": true, ""is_non_violating"": false, ""name"": ""Self-Harm and Suicide""}], ""policies_removed"": [], ""source"": {""decision"": {""id"": ""7e31c655-0be1-4cbc-8f46-11976e84f72d"", ""metadata"": {}, ""type"": ""queue_review""}, ""job"": {""created_at"": ""2026-07-08T01:22:54.722345+00:00"", ""id"": ""af8dfb5e-36d4-429a-853f-c688a94fae7e"", ""queue"": {""is_multi_review"": true, ""slug"": ""high-harm-review""}, ""reports"": []}, ""user"": {""email"": ""e.demir@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Admin""}, {""name"": ""Workflow Admins""}], ""name"": ""Elif Demir""}}, ""timestamp"": ""2026-07-09T09:50:54.722345+00:00""}","2026-07-09 09:50:55"
"decision.created","{""enforcement_actions"": [""restrict_account""], ""enforcement_actions_removed"": [], ""entity"": {""attributes"": {""caption"": ""Ready matter travel figure bridge season listen record stage practice society pattern signal."", ""created"": ""2026-07-31T07:07:07Z"", ""id"": ""d93cf15b"", ""object_url"": ""https://example.com/post/d93cf15b""}, ""entity_schema"": ""text_post""}, ""notes"": ""Practice society moment harvest garden harvest signal listen ready."", ""policies"": [{""customer_ref"": ""internal-policy-102"", ""id"": ""1a2b3c4d-1111-4444-8888-aaaabbbbcccc"", ""is_illegal"": false, ""is_non_violating"": false, ""name"": ""Harassment - Severe""}], ""policies_removed"": [], ""resolution"": {""resolution_path"": [{""notes"": ""Record window window candle."", ""policies"": [{""id"": ""1a2b3c4d-1111-4444-8888-aaaabbbbcccc"", ""name"": ""Harassment - Severe""}], ""timestamp"": ""2026-07-10T14:45:17.838099+00:00"", ""user"": {""email"": ""e.demir@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Admin""}, {""name"": ""Workflow Admins""}], ""name"": ""Elif Demir""}}, {""notes"": ""Signal window harvest reason."", ""policies"": [{""id"": ""1a2b3c4d-1111-4444-8888-aaaabbbbcccc"", ""name"": ""Harassment - Severe""}], ""timestamp"": ""2026-07-10T15:05:17.838099+00:00"", ""user"": {""email"": ""b.silva@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Reviewers""}], ""name"": ""Bruno Silva""}}], ""resolution_type"": ""agreement""}, ""source"": {""decision"": {""id"": ""a79d89c5-eb7b-4278-827c-559c7acd92ad"", ""metadata"": {}, ""type"": ""queue_review""}, ""job"": {""created_at"": ""2026-07-10T09:25:17.838099+00:00"", ""id"": ""3786b025-e59b-4774-82a7-71dc152f80bf"", ""queue"": {""is_multi_review"": true, ""slug"": ""escalations""}, ""reports"": []}, ""user"": {""email"": ""c.wei@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Reviewers""}, {""name"": ""Escalation Team""}], ""name"": ""Chen Wei""}}, ""timestamp"": ""2026-07-10T15:25:17.838099+00:00""}","2026-07-10 15:26:44"
"decision.created","{""enforcement_actions"": [""no_action""], ""enforcement_actions_removed"": [], ""entity"": {""attributes"": {""caption"": ""Ready matter travel figure bridge season listen record stage practice society pattern signal."", ""created"": ""2026-07-31T07:07:07Z"", ""id"": ""d93cf15b"", ""object_url"": ""https://example.com/post/d93cf15b""}, ""entity_schema"": ""text_post""}, ""notes"": ""Reason matter practice garden candle society."", ""policies"": [{""customer_ref"": ""internal-policy-107"", ""id"": ""6f708192-6666-4444-8888-ffff00001111"", ""is_illegal"": false, ""is_non_violating"": true, ""name"": ""Reviewed - No Violation""}], ""policies_removed"": [], ""source"": {""decision"": {""id"": ""9c8ed270-ae18-423d-8bb8-401d791db983"", ""metadata"": {}, ""type"": ""investigate_review""}, ""job"": {""created_at"": ""2026-07-10T09:25:17.838099+00:00"", ""id"": ""3786b025-e59b-4774-82a7-71dc152f80bf"", ""queue"": {""is_multi_review"": true, ""slug"": ""escalations""}, ""reports"": []}, ""user"": {""email"": ""c.wei@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Reviewers""}, {""name"": ""Escalation Team""}], ""name"": ""Chen Wei""}}, ""timestamp"": ""2026-07-12T15:29:17.838099+00:00""}","2026-07-12 15:30:14"
"decision.created","{""enforcement_actions"": [""shadow_ban"", ""restrict_account""], ""enforcement_actions_removed"": [], ""entity"": {""attributes"": {""account_age_days"": 1819, ""email"": ""user651@example.net"", ""first_name"": ""Sam"", ""id"": ""87753191"", ""last_name"": ""Hall"", ""username"": ""figure10""}, ""entity_schema"": ""user"", ""predictions"": [{""attributes"": [""caption""], ""confidence"": ""MEDIUM"", ""inference_id"": ""fca57c29-79e4-43ba-8eb8-2d3c83dd7357"", ""is_positive"": true, ""policy_id"": ""09049cc6-ddf9-47fe-b6ff-1d266a3aad7d"", ""score"": 0.5857}]}, ""notes"": """", ""point_updates"": [{""entity"": {""attributes"": {""id"": ""87753191""}, ""entity_schema"": ""user""}, ""points_change"": 5, ""points_total"": 19}], ""policies"": [{""customer_ref"": ""internal-policy-101"", ""id"": ""09049cc6-ddf9-47fe-b6ff-1d266a3aad7d"", ""is_illegal"": true, ""is_non_violating"": false, ""name"": ""Threats of Violence""}], ""policies_removed"": [], ""source"": {""decision"": {""id"": ""5a9e5518-66cf-49ff-861f-bf39506a4d66"", ""metadata"": {}, ""type"": ""agent""}, ""job"": {""created_at"": ""2026-07-09T11:30:32.060498+00:00"", ""id"": ""f55a6875-2ba6-49c2-8f67-7fb598821fdd"", ""queue"": {""is_multi_review"": false, ""slug"": ""flagged-text""}, ""reports"": []}}, ""timestamp"": ""2026-07-12T15:36:32.060498+00:00""}","2026-07-12 15:38:01"
"decision.created","{""enforcement_actions"": [""no_action""], ""enforcement_actions_removed"": [], ""entity"": {""attributes"": {""caption"": ""Harvest window society harvest season reason society quiet listen matter travel society pattern moment."", ""created"": ""2026-07-09T16:35:43Z"", ""id"": ""7ffbf17e"", ""object_url"": ""https://example.com/post/7ffbf17e""}, ""entity_schema"": ""text_post"", ""predictions"": [{""attributes"": [""username""], ""confidence"": ""HIGH"", ""inference_id"": ""b7dc0410-3975-4725-8fa3-7f1c12686457"", ""is_positive"": true, ""policy_id"": ""6f708192-6666-4444-8888-ffff00001111"", ""score"": 0.99}]}, ""notes"": """", ""policies"": [{""customer_ref"": ""internal-policy-107"", ""id"": ""6f708192-6666-4444-8888-ffff00001111"", ""is_illegal"": false, ""is_non_violating"": true, ""name"": ""Reviewed - No Violation""}], ""policies_removed"": [], ""source"": {""decision"": {""id"": ""6d65cb81-afd4-42ed-85aa-8209759a8336"", ""metadata"": {}, ""type"": ""investigate_review""}, ""job"": {""created_at"": ""2026-07-12T06:27:34.140327+00:00"", ""id"": ""26feb54f-5bf4-4aa3-8009-e3a107576af5"", ""queue"": {""is_multi_review"": true, ""slug"": ""high-harm-review""}, ""reports"": []}, ""user"": {""email"": ""b.silva@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Reviewers""}], ""name"": ""Bruno Silva""}}, ""timestamp"": ""2026-07-12T17:57:34.140327+00:00""}","2026-07-12 17:58:30"
