"event","payload","import_ts"
"job.actioned","{""action"": ""created"", ""action_made_by"": {""user"": {""email"": ""b.silva@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Reviewers""}], ""name"": ""Bruno Silva""}}, ""job"": {""created_at"": ""2026-07-02T12:25:50.921374Z"", ""entity"": {""attributes"": {""caption"": ""Listen pattern record candle moment figure."", ""created"": ""2026-07-02T23:48:11.353940Z"", ""id"": ""73dbd685"", ""media_count"": 3, ""object_url"": ""https://example.com/image/73dbd685""}, ""entity_schema"": ""image_post""}, ""id"": ""cf367a45-f778-4f60-8b05-fe2a0d6410b9"", ""job_category"": ""standard"", ""num_reports"": 9, ""priority"": 1, ""queue"": {""is_multi_review"": false, ""slug"": ""flagged-text""}, ""status"": ""open""}, ""notes"": ""Silver silver candle pattern practice record."", ""source"": ""manual"", ""timestamp"": ""2026-07-02T13:57:50.921374+00:00""}","2026-07-02 13:58:23"
"job.actioned","{""action"": ""created"", ""action_made_by"": {""user"": {""email"": ""e.demir@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Admin""}, {""name"": ""Workflow Admins""}], ""name"": ""Elif Demir""}}, ""job"": {""created_at"": ""2026-07-02T20:22:28.511572Z"", ""id"": ""6540101a-c5c8-4b67-87f2-0803e0eed512"", ""job_category"": ""standard"", ""num_reports"": 0, ""priority"": 1, ""queue"": {""is_multi_review"": true, ""slug"": ""high-harm-review""}, ""status"": ""open""}, ""notes"": """", ""source"": ""manual"", ""timestamp"": ""2026-07-03T03:03:28.511572+00:00""}","2026-07-03 03:04:20"
"job.actioned","{""action"": ""created"", ""action_made_by"": {""user"": {""email"": ""h.almeida@vendor.example.net"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""NorthPoint BPO Moderator - Image Review""}], ""name"": ""Hugo Almeida""}}, ""job"": {""created_at"": ""2026-07-02T20:58:30.460711Z"", ""entity"": {""attributes"": {""account_age_days"": 1188, ""email"": ""user219@example.net"", ""first_name"": ""Noor"", ""id"": ""847db73e"", ""last_name"": ""Ferrer"", ""username"": ""silver69""}, ""entity_schema"": ""user""}, ""id"": ""5dc5a1d6-e0f2-4fa1-8516-91e9bc8c0940"", ""job_category"": ""qa_appeal"", ""num_reports"": 0, ""priority"": 0, ""queue"": {""is_multi_review"": false, ""slug"": ""flagged-images""}, ""status"": ""open""}, ""notes"": """", ""source"": ""manual"", ""timestamp"": ""2026-07-03T11:15:30.460711+00:00""}","2026-07-03 11:16:31"
"job.actioned","{""action"": ""created"", ""action_made_by"": {""user"": {""email"": ""h.almeida@vendor.example.net"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""NorthPoint BPO Moderator - Image Review""}], ""name"": ""Hugo Almeida""}}, ""job"": {""created_at"": ""2026-07-03T07:55:24.677395Z"", ""entity"": {""attributes"": {""caption"": ""Harvest window moment reason candle."", ""created"": ""2026-07-21T14:24:10.933100Z"", ""id"": ""bf39c638"", ""media_count"": 2, ""object_url"": ""https://example.com/image/bf39c638""}, ""entity_schema"": ""image_post""}, ""id"": ""a87edf89-f07d-4004-8fe0-7618fbf67788"", ""job_category"": ""standard"", ""num_reports"": 6, ""priority"": 0, ""queue"": {""is_multi_review"": true, ""slug"": ""escalations""}, ""status"": ""open""}, ""notes"": ""Bridge candle candle listen figure."", ""source"": ""manual"", ""timestamp"": ""2026-07-03T16:51:24.677395+00:00""}","2026-07-03 16:52:35"
"job.actioned","{""action"": ""deferred"", ""action_made_by"": {}, ""job"": {""created_at"": ""2026-07-03T07:55:24.677395Z"", ""entity"": {""attributes"": {""caption"": ""Harvest window moment reason candle."", ""created"": ""2026-07-21T14:24:10.933100Z"", ""id"": ""bf39c638"", ""media_count"": 2, ""object_url"": ""https://example.com/image/bf39c638""}, ""entity_schema"": ""image_post""}, ""id"": ""a87edf89-f07d-4004-8fe0-7618fbf67788"", ""job_category"": ""standard"", ""num_reports"": 6, ""priority"": 0, ""queue"": {""is_multi_review"": true, ""slug"": ""escalations""}, ""status"": ""deferred""}, ""notes"": """", ""source"": ""auto"", ""timestamp"": ""2026-07-04T01:24:24.677395+00:00""}","2026-07-04 01:24:43"
"job.actioned","{""action"": ""created"", ""action_made_by"": {""user"": {""email"": ""f.haddad@vendor.example.net"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""NorthPoint BPO Moderator - Abuse Moderation""}], ""name"": ""Farid Haddad""}}, ""job"": {""created_at"": ""2026-07-04T08:16:37.881658Z"", ""entity"": {""attributes"": {""caption"": ""Moment signal travel record pattern bridge moment market record."", ""created"": ""2026-07-09T04:54:02.840705Z"", ""id"": ""eb88ec71"", ""object_url"": ""https://example.com/post/eb88ec71""}, ""entity_schema"": ""text_post""}, ""id"": ""329c9cca-3907-4695-830a-f987f69bbf46"", ""job_category"": ""standard"", ""num_reports"": 7, ""priority"": 0, ""queue"": {""is_multi_review"": false, ""slug"": ""proactive-review-qa""}, ""status"": ""open""}, ""notes"": ""Record quiet harvest matter silver."", ""source"": ""manual"", ""timestamp"": ""2026-07-04T14:40:37.881658+00:00""}","2026-07-04 14:40:54"
"job.actioned","{""action"": ""created"", ""action_made_by"": {""user"": {""email"": ""c.wei@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Reviewers""}, {""name"": ""Escalation Team""}], ""name"": ""Chen Wei""}}, ""job"": {""created_at"": ""2026-07-04T12:12:10.275425Z"", ""entity"": {""attributes"": {""caption"": ""Moment quiet figure signal listen season matter candle."", ""created"": ""2026-07-18T06:07:14.118589Z"", ""id"": ""3912bc2e"", ""media_count"": 3, ""object_url"": ""https://example.com/image/3912bc2e""}, ""entity_schema"": ""image_post""}, ""id"": ""6c3d66a9-5ad2-4928-8a72-a78362f7ae16"", ""job_category"": ""standard"", ""num_reports"": 5, ""priority"": 1, ""queue"": {""is_multi_review"": true, ""slug"": ""escalations""}, ""status"": ""open""}, ""notes"": """", ""source"": ""manual"", ""timestamp"": ""2026-07-04T18:00:10.275425+00:00""}","2026-07-04 18:00:45"
"job.actioned","{""action"": ""returned"", ""action_made_by"": {""user"": {""email"": ""b.silva@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Reviewers""}], ""name"": ""Bruno Silva""}}, ""job"": {""created_at"": ""2026-07-04T08:16:37.881658Z"", ""id"": ""329c9cca-3907-4695-830a-f987f69bbf46"", ""job_category"": ""standard"", ""num_reports"": 7, ""priority"": 0, ""queue"": {""is_multi_review"": false, ""slug"": ""proactive-review-qa""}, ""status"": ""open""}, ""notes"": """", ""source"": ""manual"", ""timestamp"": ""2026-07-04T19:16:37.881658+00:00""}","2026-07-04 19:16:52"
"job.actioned","{""action"": ""changed_queue"", ""action_made_by"": {}, ""job"": {""created_at"": ""2026-07-04T12:12:10.275425Z"", ""entity"": {""attributes"": {""caption"": ""Moment quiet figure signal listen season matter candle."", ""created"": ""2026-07-18T06:07:14.118589Z"", ""id"": ""3912bc2e"", ""media_count"": 3, ""object_url"": ""https://example.com/image/3912bc2e""}, ""entity_schema"": ""image_post""}, ""id"": ""6c3d66a9-5ad2-4928-8a72-a78362f7ae16"", ""job_category"": ""standard"", ""num_reports"": 5, ""priority"": 1, ""queue"": {""is_multi_review"": true, ""slug"": ""escalations""}, ""status"": ""open""}, ""notes"": """", ""source"": ""api"", ""timestamp"": ""2026-07-04T22:57:10.275425+00:00""}","2026-07-04 22:57:40"
"job.actioned","{""action"": ""created"", ""action_made_by"": {""user"": {""email"": ""c.wei@example.com"", ""groups"": [{""name"": ""Everyone""}, {""name"": ""Reviewers""}, {""name"": ""Escalation Team""}], ""name"": ""Chen Wei""}}, ""job"": {""created_at"": ""2026-07-05T05:38:16.223890Z"", ""entity"": {""attributes"": {""account_age_days"": 213, ""email"": ""user722@example.net"", ""first_name"": ""Noor"", ""id"": ""348b9a5b"", ""last_name"": ""Adeyemi"", ""username"": ""society55""}, ""entity_schema"": ""user""}, ""id"": ""f8d9f0e0-6997-4824-8665-2c9863c66082"", ""job_category"": ""qa_appeal"", ""num_reports"": 1, ""priority"": 2, ""queue"": {""is_multi_review"": true, ""slug"": ""escalations""}, ""status"": ""open""}, ""notes"": ""wrong queue"", ""source"": ""manual"", ""timestamp"": ""2026-07-05T08:05:16.223890+00:00""}","2026-07-05 08:05:38"
