"event","payload","import_ts"
"job.closed","{""decisions"": [{""enforcement_actions"": [""remove_content"", ""warn_user""], ""entity"": {""attributes"": {""caption"": ""Signal listen pattern record candle."", ""created"": ""2026-07-22T15:02:07Z"", ""id"": ""173dbd68"", ""media_count"": 2, ""object_url"": ""https://example.com/image/173dbd68""}, ""entity_schema"": ""image_post""}, ""policies"": [{""id"": ""3c4d5e6f-3333-4444-8888-ccccddddeeee"", ""name"": ""Adult Nudity""}], ""source"": {""type"": ""manual""}, ""timestamp"": ""2026-07-06T04:00:56.178392+00:00""}], ""job"": {""category"": ""appeal"", ""created_at"": ""2026-07-04T08:56:56Z"", ""entity"": {""attributes"": {""caption"": ""Signal listen pattern record candle."", ""created"": ""2026-07-22T15:02:07Z"", ""id"": ""173dbd68"", ""media_count"": 2, ""object_url"": ""https://example.com/image/173dbd68""}, ""entity_schema"": ""image_post""}, ""id"": ""7cf367a4-5f77-48f6-80b0-5fe2a0d6410b"", ""queue"": {""is_multi_review"": false, ""slug"": ""user-reports""}}, ""timestamp"": ""2026-07-06T04:03:17Z""}","2026-07-06 04:04:03"
"job.closed","{""decisions"": [{""enforcement_actions"": [""warn_user""], ""entity"": {""attributes"": {""caption"": ""Bridge practice record matter market figure season pattern silver practice ready season."", ""created"": ""2026-07-25T17:40:13Z"", ""id"": ""f02da85a"", ""object_url"": ""https://example.com/post/f02da85a""}, ""entity_schema"": ""text_post"", ""predictions"": [{""attributes"": [""username""], ""confidence"": ""MEDIUM"", ""inference_id"": ""729d58a6-2e8c-4814-8577-07fa003e174d"", ""is_positive"": true, ""policy_id"": ""1a2b3c4d-1111-4444-8888-aaaabbbbcccc"", ""score"": 0.7709}]}, ""policies"": [{""id"": ""1a2b3c4d-1111-4444-8888-aaaabbbbcccc"", ""name"": ""Harassment - Severe""}, {""id"": ""2b3c4d5e-2222-4444-8888-bbbbccccdddd"", ""name"": ""Harassment - Mild""}], ""source"": {""type"": ""automated""}, ""timestamp"": ""2026-07-09T01:09:03.667502+00:00""}], ""job"": {""category"": ""standard"", ""created_at"": ""2026-07-08T19:46:03Z"", ""entity"": {""attributes"": {""caption"": ""Bridge practice record matter market figure season pattern silver practice ready season."", ""created"": ""2026-07-25T17:40:13Z"", ""id"": ""f02da85a"", ""object_url"": ""https://example.com/post/f02da85a""}, ""entity_schema"": ""text_post""}, ""id"": ""212496d3-c9f5-4756-8b61-b0d32f567daf"", ""queue"": {""is_multi_review"": false, ""slug"": ""flagged-text""}}, ""timestamp"": ""2026-07-09T01:14:29Z""}","2026-07-09 01:14:39"
"job.closed","{""decisions"": [{""enforcement_actions"": [""restrict_account""], ""entity"": {""attributes"": {""account_age_days"": 1823, ""email"": ""user314@example.net"", ""first_name"": ""Noor"", ""id"": ""06997824"", ""last_name"": ""Hall"", ""username"": ""practice81""}, ""entity_schema"": ""user"", ""predictions"": [{""attributes"": [""transcript""], ""confidence"": ""LOW"", ""inference_id"": ""c3a596e8-6845-41f0-8f71-b7e2b7428999"", ""is_positive"": true, ""policy_id"": ""5e6f7081-5555-4444-8888-eeeeffff0000"", ""score"": 0.5424}]}, ""policies"": [{""id"": ""5e6f7081-5555-4444-8888-eeeeffff0000"", ""name"": ""Spam and Inauthentic Behaviour""}], ""source"": {""type"": ""manual""}, ""timestamp"": ""2026-07-09T07:39:00.787142+00:00""}], ""job"": {""category"": ""standard"", ""created_at"": ""2026-07-06T17:54:00Z"", ""entity"": {""attributes"": {""account_age_days"": 1823, ""email"": ""user314@example.net"", ""first_name"": ""Noor"", ""id"": ""06997824"", ""last_name"": ""Hall"", ""username"": ""practice81""}, ""entity_schema"": ""user""}, ""id"": ""29128bd6-b6fb-4e89-88e0-17eafcf8d9f0"", ""queue"": {""is_multi_review"": true, ""slug"": ""escalations""}}, ""timestamp"": ""2026-07-09T07:39:38Z""}","2026-07-09 07:40:46"
"job.closed","{""decisions"": [{""enforcement_actions"": [""no_action""], ""entity"": {""attributes"": {""caption"": ""Ready matter travel figure bridge season listen record stage practice society pattern signal."", ""created"": ""2026-07-31T07:07:07Z"", ""id"": ""d93cf15b"", ""object_url"": ""https://example.com/post/d93cf15b""}, ""entity_schema"": ""text_post""}, ""policies"": [{""id"": ""6f708192-6666-4444-8888-ffff00001111"", ""name"": ""Reviewed - No Violation""}], ""source"": {""type"": ""manual""}, ""timestamp"": ""2026-07-12T15:29:17.838099+00:00""}, {""enforcement_actions"": [""restrict_account""], ""entity"": {""attributes"": {""caption"": ""Ready matter travel figure bridge season listen record stage practice society pattern signal."", ""created"": ""2026-07-31T07:07:07Z"", ""id"": ""d93cf15b"", ""object_url"": ""https://example.com/post/d93cf15b""}, ""entity_schema"": ""text_post""}, ""policies"": [{""id"": ""1a2b3c4d-1111-4444-8888-aaaabbbbcccc"", ""name"": ""Harassment - Severe""}], ""source"": {""type"": ""manual""}, ""timestamp"": ""2026-07-10T15:25:17.838099+00:00""}], ""job"": {""category"": ""standard"", ""created_at"": ""2026-07-10T09:25:17Z"", ""entity"": {""attributes"": {""caption"": ""Ready matter travel figure bridge season listen record stage practice society pattern signal."", ""created"": ""2026-07-31T07:07:07Z"", ""id"": ""d93cf15b"", ""object_url"": ""https://example.com/post/d93cf15b""}, ""entity_schema"": ""text_post""}, ""id"": ""3786b025-e59b-4774-82a7-71dc152f80bf"", ""queue"": {""is_multi_review"": true, ""slug"": ""escalations""}}, ""timestamp"": ""2026-07-12T15:30:11Z""}","2026-07-12 15:31:27"
"job.closed","{""decisions"": [{""enforcement_actions"": [""shadow_ban"", ""restrict_account""], ""entity"": {""attributes"": {""account_age_days"": 1819, ""email"": ""user651@example.net"", ""first_name"": ""Sam"", ""id"": ""87753191"", ""last_name"": ""Hall"", ""username"": ""figure10""}, ""entity_schema"": ""user"", ""predictions"": [{""attributes"": [""caption""], ""confidence"": ""MEDIUM"", ""inference_id"": ""fca57c29-79e4-43ba-8eb8-2d3c83dd7357"", ""is_positive"": true, ""policy_id"": ""09049cc6-ddf9-47fe-b6ff-1d266a3aad7d"", ""score"": 0.5857}]}, ""policies"": [{""id"": ""09049cc6-ddf9-47fe-b6ff-1d266a3aad7d"", ""name"": ""Threats of Violence""}], ""source"": {""type"": ""automated""}, ""timestamp"": ""2026-07-12T15:36:32.060498+00:00""}], ""job"": {""category"": ""qa"", ""created_at"": ""2026-07-09T11:30:32Z"", ""entity"": {""attributes"": {""account_age_days"": 1819, ""email"": ""user651@example.net"", ""first_name"": ""Sam"", ""id"": ""87753191"", ""last_name"": ""Hall"", ""username"": ""figure10""}, ""entity_schema"": ""user""}, ""id"": ""f55a6875-2ba6-49c2-8f67-7fb598821fdd"", ""queue"": {""is_multi_review"": false, ""slug"": ""flagged-text""}}, ""timestamp"": ""2026-07-12T15:41:10Z""}","2026-07-12 15:41:45"
"job.closed","{""decisions"": [{""enforcement_actions"": [""remove_content"", ""restrict_account""], ""entity"": {""attributes"": {""account_age_days"": 1447, ""email"": ""user651@example.net"", ""first_name"": ""Tomas"", ""id"": ""741a9e5f"", ""last_name"": ""Moore"", ""username"": ""quiet28""}, ""entity_schema"": ""user""}, ""policies"": [{""id"": ""2b3c4d5e-2222-4444-8888-bbbbccccdddd"", ""name"": ""Harassment - Mild""}], ""source"": {""type"": ""automated""}, ""timestamp"": ""2026-07-14T13:46:20.436203+00:00""}], ""job"": {""category"": ""standard"", ""created_at"": ""2026-07-12T10:10:20Z"", ""entity"": {""attributes"": {""account_age_days"": 1447, ""email"": ""user651@example.net"", ""first_name"": ""Tomas"", ""id"": ""741a9e5f"", ""last_name"": ""Moore"", ""username"": ""quiet28""}, ""entity_schema"": ""user""}, ""id"": ""169b3d90-3d24-49b3-8ce6-ba83cfa2b4c6"", ""queue"": {""is_multi_review"": false, ""slug"": ""user-reports""}}, ""timestamp"": ""2026-07-14T13:52:28Z""}","2026-07-14 13:53:47"
"job.closed","{""decisions"": [{""enforcement_actions"": [""warn_user""], ""entity"": {""attributes"": {""account_age_days"": 168, ""email"": ""user947@example.net"", ""first_name"": ""Ola"", ""id"": ""a8b8258b"", ""last_name"": ""Hall"", ""username"": ""season59""}, ""entity_schema"": ""user""}, ""policies"": [{""id"": ""2b3c4d5e-2222-4444-8888-bbbbccccdddd"", ""name"": ""Harassment - Mild""}], ""source"": {""type"": ""manual""}, ""timestamp"": ""2026-07-15T01:34:21Z""}], ""job"": {""category"": ""training"", ""created_at"": ""2026-07-14T20:38:21Z"", ""entity"": {""attributes"": {""account_age_days"": 168, ""email"": ""user947@example.net"", ""first_name"": ""Ola"", ""id"": ""a8b8258b"", ""last_name"": ""Hall"", ""username"": ""season59""}, ""entity_schema"": ""user""}, ""id"": ""680314f6-a74c-41a9-8d56-3b0ff96a09dd"", ""queue"": {""is_multi_review"": false, ""slug"": ""flagged-images""}}, ""timestamp"": ""2026-07-15T01:38:21Z""}","2026-07-15 01:39:22"
"job.closed","{""decisions"": [{""enforcement_actions"": [""restrict_account""], ""entity"": {""attributes"": {""caption"": ""Pattern quiet matter garden season reason pattern ready harvest candle figure ready ready candle."", ""created"": ""2026-07-26T08:04:32Z"", ""id"": ""149953f4"", ""object_url"": ""https://example.com/post/149953f4""}, ""entity_schema"": ""text_post""}, ""policies"": [{""id"": ""3c4d5e6f-3333-4444-8888-ccccddddeeee"", ""name"": ""Adult Nudity""}], ""source"": {""type"": ""automated""}, ""timestamp"": ""2026-07-15T20:35:19.274264+00:00""}], ""job"": {""category"": ""standard"", ""created_at"": ""2026-07-12T17:06:19Z"", ""entity"": {""attributes"": {""caption"": ""Pattern quiet matter garden season reason pattern ready harvest candle figure ready ready candle."", ""created"": ""2026-07-26T08:04:32Z"", ""id"": ""149953f4"", ""object_url"": ""https://example.com/post/149953f4""}, ""entity_schema"": ""text_post""}, ""id"": ""a4a58ef2-801e-4d6e-8f5d-bd23dda0f511"", ""queue"": {""is_multi_review"": false, ""slug"": ""flagged-images""}}, ""timestamp"": ""2026-07-15T20:40:53Z""}","2026-07-15 20:42:17"
"job.closed","{""decisions"": [{""enforcement_actions"": [""shadow_ban"", ""restrict_account""], ""entity"": {""attributes"": {""caption"": ""Travel silver society ready harvest."", ""created"": ""2026-07-21T19:33:10Z"", ""id"": ""d1c6e6d5"", ""media_count"": 3, ""object_url"": ""https://example.com/image/d1c6e6d5""}, ""entity_schema"": ""image_post"", ""predictions"": [{""attributes"": [""transcript""], ""confidence"": ""LOW"", ""inference_id"": ""cbc68cee-4f5e-4b97-8509-a24253b1aa66"", ""is_positive"": true, ""policy_id"": ""4d5e6f70-4444-4444-8888-ddddeeeeffff"", ""score"": 0.5907}]}, ""policies"": [{""id"": ""4d5e6f70-4444-4444-8888-ddddeeeeffff"", ""name"": ""Self-Harm and Suicide""}], ""source"": {""type"": ""manual""}, ""timestamp"": ""2026-07-19T04:18:23.979007+00:00""}], ""job"": {""category"": ""golden"", ""created_at"": ""2026-07-18T04:53:23Z"", ""entity"": {""attributes"": {""caption"": ""Travel silver society ready harvest."", ""created"": ""2026-07-21T19:33:10Z"", ""id"": ""d1c6e6d5"", ""media_count"": 3, ""object_url"": ""https://example.com/image/d1c6e6d5""}, ""entity_schema"": ""image_post""}, ""id"": ""5bc5af0a-8753-4525-8610-8bc86944409d"", ""queue"": {""is_multi_review"": false, ""slug"": ""user-reports""}}, ""timestamp"": ""2026-07-19T04:21:48Z""}","2026-07-19 04:21:58"
"job.closed","{""decisions"": [{""enforcement_actions"": [""remove_content"", ""shadow_ban""], ""entity"": {""attributes"": {""caption"": ""Ready ready window garden moment market matter season."", ""created"": ""2026-07-27T14:58:39Z"", ""id"": ""64d60d75"", ""object_url"": ""https://example.com/post/64d60d75""}, ""entity_schema"": ""text_post""}, ""policies"": [{""id"": ""1a2b3c4d-1111-4444-8888-aaaabbbbcccc"", ""name"": ""Harassment - Severe""}], ""source"": {""type"": ""manual""}, ""timestamp"": ""2026-07-20T14:36:08.573522+00:00""}], ""job"": {""category"": ""standard"", ""created_at"": ""2026-07-18T20:00:08Z"", ""entity"": {""attributes"": {""caption"": ""Ready ready window garden moment market matter season."", ""created"": ""2026-07-27T14:58:39Z"", ""id"": ""64d60d75"", ""object_url"": ""https://example.com/post/64d60d75""}, ""entity_schema"": ""text_post""}, ""id"": ""d7b0fb0d-5dea-4c1a-88db-e86f84097c8a"", ""queue"": {""is_multi_review"": true, ""slug"": ""escalations""}}, ""timestamp"": ""2026-07-20T14:41:46Z""}","2026-07-20 14:42:23"
